Pitch #,Inning,Half,Pitching Team,Pitcher #,Pitcher,Batting Team,Batter,Pitch Code,Pitch Type,Count Before,Count After,Recorded At
201,7,top,home,39,Trey Yesavage,away,Jared Young,F,Foul,"=""1-1""","=""1-2""",2026-06-30T00:47:02.733Z
202,7,top,home,39,Trey Yesavage,away,Jared Young,IP,In Play,"=""1-2""","=""1-2""",2026-06-30T00:47:15.849Z
203,7,top,home,39,Trey Yesavage,away,A.J. Ewing,B,Ball,"=""0-0""","=""1-0""",2026-06-30T00:48:15.767Z
204,7,top,home,39,Trey Yesavage,away,A.J. Ewing,B,Ball,"=""1-0""","=""2-0""",2026-06-30T00:48:18.658Z
205,7,top,home,39,Trey Yesavage,away,A.J. Ewing,B,Ball,"=""2-0""","=""3-0""",2026-06-30T00:48:19.158Z
206,7,top,home,39,Trey Yesavage,away,A.J. Ewing,C,Called Strike,"=""3-0""","=""3-1""",2026-06-30T00:48:32.430Z
207,7,top,home,39,Trey Yesavage,away,A.J. Ewing,HBP,Hit By Pitch,"=""3-1""","=""3-1""",2026-06-30T00:48:57.392Z
208,7,top,home,39,Trey Yesavage,away,Mark Vientos,C,Called Strike,"=""0-0""","=""0-1""",2026-06-30T00:49:55.331Z
209,7,top,home,39,Trey Yesavage,away,Mark Vientos,SW,Swinging Strike,"=""0-1""","=""0-2""",2026-06-30T00:50:31.949Z
210,7,top,home,39,Trey Yesavage,away,Mark Vientos,B,Ball,"=""0-2""","=""1-2""",2026-06-30T00:50:51.757Z
211,7,top,home,39,Trey Yesavage,away,Mark Vientos,IP,In Play,"=""1-2""","=""1-2""",2026-06-30T00:51:48.281Z
212,7,bottom,away,44,Austin Warren,home,Yohendrick Piñango,SW,Swinging Strike,"=""0-0""","=""0-1""",2026-06-30T00:55:00.551Z
213,7,bottom,away,44,Austin Warren,home,Yohendrick Piñango,IP,In Play,"=""0-1""","=""0-1""",2026-06-30T00:57:42.303Z
214,7,bottom,away,44,Austin Warren,home,Myles Straw,C,Called Strike,"=""0-0""","=""0-1""",2026-06-30T00:58:09.165Z
215,7,bottom,away,44,Austin Warren,home,Myles Straw,C,Called Strike,"=""0-1""","=""0-2""",2026-06-30T00:58:23.199Z
216,7,bottom,away,44,Austin Warren,home,Myles Straw,B,Ball,"=""0-2""","=""1-2""",2026-06-30T00:58:37.237Z
217,7,bottom,away,44,Austin Warren,home,Myles Straw,IP,In Play,"=""1-2""","=""1-2""",2026-06-30T00:59:00.506Z
218,7,bottom,away,44,Austin Warren,home,George Springer,B,Ball,"=""0-0""","=""1-0""",2026-06-30T01:00:10.588Z
219,7,bottom,away,44,Austin Warren,home,George Springer,C,Called Strike,"=""1-0""","=""1-1""",2026-06-30T01:00:11.254Z
220,7,bottom,away,44,Austin Warren,home,George Springer,C,Called Strike,"=""1-1""","=""1-2""",2026-06-30T01:00:21.535Z
221,7,bottom,away,44,Austin Warren,home,George Springer,B,Ball,"=""1-2""","=""2-2""",2026-06-30T01:00:37.259Z
222,7,bottom,away,44,Austin Warren,home,George Springer,C,Called Strike,"=""2-2""","=""2-3""",2026-06-30T01:00:52.408Z
223,8,top,home,68,Mason Fluharty,away,Ronny Mauricio,IP,In Play,"=""0-0""","=""0-0""",2026-06-30T01:04:48.842Z
225,8,top,home,68,Mason Fluharty,away,Francisco Alvarez,F,Foul,"=""0-0""","=""0-1""",2026-06-30T01:05:06.669Z
226,8,top,home,68,Mason Fluharty,away,Francisco Alvarez,F,Foul,"=""0-1""","=""0-2""",2026-06-30T01:05:18.016Z
227,8,top,home,68,Mason Fluharty,away,Francisco Alvarez,B,Ball,"=""0-2""","=""1-2""",2026-06-30T01:05:29.188Z
